library,nid,name,stub_address
SysMemUserForUser,0x13A5ABEF,sceKernelPrintf,0x08B7FC14
SysMemUserForUser,0x237DBD4F,sceKernelAllocPartitionMemory,0x08B7FC1C
SysMemUserForUser,0x9D9A5BA1,sceKernelGetBlockHeadAddr,0x08B7FC24
SysMemUserForUser,0xB6D61D02,sceKernelFreePartitionMemory,0x08B7FC2C
ThreadManForUser,0xCEADEB47,sceKernelDelayThread,0x08B7FC34
ThreadManForUser,0xD59EAD2F,,0x08B7FC3C
ThreadManForUser,0xD6DA4BA1,sceKernelCreateSema,0x08B7FC44
ThreadManForUser,0x1FB15A32,sceKernelSetEventFlag,0x08B7FC4C
ThreadManForUser,0xE81CAF8F,sceKernelCreateCallback,0x08B7FC54
ThreadManForUser,0xEA748E31,sceKernelChangeCurrentThreadAttr,0x08B7FC5C
ThreadManForUser,0xEDBA5844,sceKernelDeleteCallback,0x08B7FC64
ThreadManForUser,0xEF9E4C70,sceKernelDeleteEventFlag,0x08B7FC6C
ThreadManForUser,0xF475845D,sceKernelStartThread,0x08B7FC74
ThreadManForUser,0xF8170FBE,,0x08B7FC7C
ThreadManForUser,0x278C0DF5,sceKernelWaitThreadEnd,0x08B7FC84
ThreadManForUser,0x28B6489C,sceKernelDeleteSema,0x08B7FC8C
ThreadManForUser,0x349D6D6C,,0x08B7FC94
ThreadManForUser,0x369ED59D,sceKernelGetSystemTimeLow,0x08B7FC9C
ThreadManForUser,0x3F53E640,sceKernelSignalSema,0x08B7FCA4
ThreadManForUser,0x402FCF22,sceKernelWaitEventFlag,0x08B7FCAC
ThreadManForUser,0x446D8DE6,sceKernelCreateThread,0x08B7FCB4
ThreadManForUser,0x4E3A1105,sceKernelWaitSema,0x08B7FCBC
ThreadManForUser,0x55C20A00,sceKernelCreateEventFlag,0x08B7FCC4
ThreadManForUser,0x58B1F937,,0x08B7FCCC
ThreadManForUser,0x60107536,,0x08B7FCD4
ThreadManForUser,0x68DA9E36,sceKernelDelayThreadCB,0x08B7FCDC
ThreadManForUser,0x6B30100F,,0x08B7FCE4
ThreadManForUser,0x6D212BAC,,0x08B7FCEC
ThreadManForUser,0x71BC9871,,0x08B7FCF4
ThreadManForUser,0x75156E8F,,0x08B7FCFC
ThreadManForUser,0x812346E4,sceKernelClearEventFlag,0x08B7FD04
ThreadManForUser,0x17C1684E,,0x08B7FD0C
ThreadManForUser,0x94AA61EE,,0x08B7FD14
ThreadManForUser,0x9944F31F,,0x08B7FD1C
ThreadManForUser,0x9ACE131E,,0x08B7FD24
ThreadManForUser,0x9FA03CD3,,0x08B7FD2C
ThreadManForUser,0xAA73C935,,0x08B7FD34
ThreadManForUser,0x19CFF145,,0x08B7FD3C
ThreadManForUser,0xB011B11F,,0x08B7FD44
ThreadManForUser,0xB7D098C6,,0x08B7FD4C
ThreadManForUser,0x328C546A,sceKernelWaitEventFlagCB,0x08B7FD54
ThreadManForUser,0x5BF4DD27,,0x08B7FD5C
UtilsForUser,0x79D1C3FA,sceKernelDcacheWritebackAll,0x08B7FD64
UtilsForUser,0xB435DEC5,sceKernelDcacheWritebackInvalidateAll,0x08B7FD6C
UtilsForUser,0x34B9FA9E,sceKernelDcacheWritebackInvalidateRange,0x08B7FD74
UtilsForUser,0x3EE30821,sceKernelDcacheWritebackRange,0x08B7FD7C
UtilsForUser,0x71EC4271,,0x08B7FD84
UtilsForUser,0x91E4F6A7,,0x08B7FD8C
UtilsForUser,0x27CC57F0,,0x08B7FD94
sceSuspendForUser,0x090CCB3F,sceKernelPowerTick,0x08B800DC
sceMpeg,0x0E3C2E9D,,0x08B7FF24
sceMpeg,0x13407F13,,0x08B7FF2C
sceMpeg,0x167AFD9E,,0x08B7FF34
sceMpeg,0x21FF80E4,,0x08B7FF3C
sceMpeg,0x37295ED8,,0x08B7FF44
sceMpeg,0x42560F23,,0x08B7FF4C
sceMpeg,0x4571CC64,,0x08B7FF54
sceMpeg,0x591A4AA2,,0x08B7FF5C
sceMpeg,0x606A4649,,0x08B7FF64
sceMpeg,0x611E9E11,,0x08B7FF6C
sceMpeg,0x682A619B,,0x08B7FF74
sceMpeg,0x707B7629,,0x08B7FF7C
sceMpeg,0x740FCCD1,,0x08B7FF84
sceMpeg,0x800C44DF,,0x08B7FF8C
sceMpeg,0x874624D6,,0x08B7FF94
sceMpeg,0xA780CF7E,,0x08B7FF9C
sceMpeg,0xB240A59E,,0x08B7FFA4
sceMpeg,0xB5F6DC87,,0x08B7FFAC
sceMpeg,0xC132E22F,,0x08B7FFB4
sceMpeg,0xCEB870B1,,0x08B7FFBC
sceMpeg,0xD7A29F46,,0x08B7FFC4
sceMpeg,0xD8C5F121,,0x08B7FFCC
sceMpeg,0xE1CE83A7,,0x08B7FFD4
sceMpeg,0xF8DCB679,,0x08B7FFDC
sceMpeg,0xFE246728,,0x08B7FFE4
sceUmdUser,0x20628E6F,,0x08B800E4
sceUmdUser,0x46EBB729,sceUmdCheckMedium,0x08B800EC
sceUmdUser,0x4A9E5E29,,0x08B800F4
sceUmdUser,0x6AF9B50A,,0x08B800FC
sceUmdUser,0x6B4A146C,sceUmdGetDriveStat,0x08B80104
sceUmdUser,0x8EF08FCE,sceUmdWaitDriveStat,0x08B8010C
sceUmdUser,0xAEE7404D,sceUmdRegisterUMDCallBack,0x08B80114
sceUmdUser,0xBD2BDE07,sceUmdUnRegisterUMDCallBack,0x08B8011C
sceUmdUser,0xC6183D47,sceUmdActivate,0x08B80124
sceDmac,0x617F3FE6,,0x08B7FE54
scePower,0x04B7766E,,0x08B7FFEC
scePower,0xDFA8BAF8,,0x08B7FFF4
scePower,0xEBD177D6,,0x08B7FFFC
sceUtility,0x2A2B3DE0,,0x08B8012C
sceUtility,0x2AD8E239,,0x08B80134
sceUtility,0x50C4CD57,,0x08B8013C
sceUtility,0x67AF3428,,0x08B80144
sceUtility,0x8874DBE0,,0x08B8014C
sceUtility,0x95FC253B,,0x08B80154
sceUtility,0x9790B33C,,0x08B8015C
sceUtility,0x9A1C91D7,,0x08B80164
sceUtility,0xD4B95FFB,,0x08B8016C
sceUtility,0xE49BFE92,,0x08B80174
sceImpose,0x36AA6E91,,0x08B7FEBC
scesupPreAcc,0x110E318B,,0x08B8017C
scesupPreAcc,0x2EC3F4D9,,0x08B80184
scesupPreAcc,0x348BA3E2,,0x08B8018C
scesupPreAcc,0x7ADA3927,,0x08B80194
scesupPreAcc,0x86DEBD66,,0x08B8019C
scesupPreAcc,0xA0EAF444,,0x08B801A4
scesupPreAcc,0xB03FF882,,0x08B801AC
StdioForUser,0x172D316E,,0x08B7FBEC
StdioForUser,0xA6BAB2E9,,0x08B7FBF4
StdioForUser,0xF78BA90A,,0x08B7FBFC
