# library,nid,name
UtilsForUser,0xBFA98062,sceKernelDcacheInvalidateRange
UtilsForUser,0xC2DF770E,sceKernelIcacheInvalidateRange
sceAtrac3plus,0x2DD3E298,sceAtracGetBufferInfoForResetting
sceAtrac3plus,0x5D268707,sceAtracGetStreamDataInfo
sceAtrac3plus,0x61EB33F5,sceAtracReleaseAtracID
sceAtrac3plus,0x644E5607,sceAtracResetPlayPosition
sceAtrac3plus,0x6A8C3CD5,sceAtracDecodeData
sceAtrac3plus,0x7A20E7AF,sceAtracSetDataAndGetID
sceAtrac3plus,0x868120B5,sceAtracSetLoopNum
sceAtrac3plus,0x9AE849A7,sceAtracGetRemainFrame
sceAtrac3plus,0xA2BBA8BE,sceAtracGetSoundSample
sceAtrac3plus,0xA554A158,sceAtracGetBitrate
sceAtrac3plus,0xE23E3A35,sceAtracGetNextDecodePosition
sceAtrac3plus,0xFAA4F89B,sceAtracGetLoopStatus
sceAudio,0x13F592BC,sceAudioOutputPannedBlocking
sceAudio,0x5EC81C55,sceAudioChReserve
sceAudio,0x6FC46853,sceAudioChRelease
sceAudio,0x95FD0C2D,sceAudioChangeChannelConfig
sceAudio,0xB011922F,sceAudioGetChannelRestLength
sceAudio,0xB7E1D8E7,sceAudioChangeChannelVolume
sceAudio,0xCB2E439E,sceAudioSetChannelDataLen
sceCtrl,0x1F4011E6,sceCtrlSetSamplingMode
sceCtrl,0x1F803938,sceCtrlReadBufferPositive
sceCtrl,0x6A2774F3,sceCtrlSetSamplingCycle
sceDisplay,0x0E20F177,sceDisplaySetMode
sceDisplay,0x289D82FE,sceDisplaySetFrameBuf
sceDmac,0x617F3FE6,sceDmacMemcpy
sceGe_user,0x03444EB4,sceGeListSync
sceGe_user,0x05DB22CE,sceGeUnsetCallback
sceGe_user,0x1C0D95A6,sceGeListEnQueueHead
sceGe_user,0x1F6752AD,sceGeEdramGetSize
sceGe_user,0x4C06E472,sceGeContinue
sceGe_user,0xA4FC06A4,sceGeSetCallback
sceGe_user,0xAB49E76A,sceGeListEnQueue
sceGe_user,0xB287BD61,sceGeDrawSync
sceGe_user,0xB448EC0D,sceGeBreak
sceGe_user,0xB77905EA,sceGeEdramSetAddrTranslation
sceGe_user,0xE0D68148,sceGeListUpdateStallAddr
sceGe_user,0xE47E40E4,sceGeEdramGetAddr
sceHttp,0x0282A3BD,sceHttpGetContentLength
sceHttp,0x0B12ABFB,sceHttpDisableCookie
sceHttp,0x1F0FC3E3,sceHttpSetRecvTimeOut
sceHttp,0x2255551E,sceHttpGetNetworkPspError
sceHttp,0x3EABA285,sceHttpAddExtraHeader
sceHttp,0x4CC7D78F,sceHttpGetStatusCode
sceHttp,0x5152773B,sceHttpDeleteConnection
sceHttp,0x87797BDD,sceHttpsLoadDefaultCert
sceHttp,0x8ACD1F73,sceHttpSetConnectTimeOut
sceHttp,0x9988172D,sceHttpSetSendTimeOut
sceHttp,0x9B1F1F36,sceHttpCreateTemplate
sceHttp,0xA4496DE5,sceHttpSetRedirectCallback
sceHttp,0xA5512E01,sceHttpDeleteRequest
sceHttp,0xAB1540D5,sceHttpsGetSslError
sceHttp,0xAB1ABE07,sceHttpInit
sceHttp,0xAE948FEE,sceHttpDisableAuth
sceHttp,0xB509B09E,sceHttpCreateRequestWithURL
sceHttp,0xBB70706F,sceHttpSendRequest
sceHttp,0xC10B6BD9,sceHttpAbortRequest
sceHttp,0xCCBD167A,sceHttpDisableCache
sceHttp,0xCDF8ECB9,sceHttpCreateConnectionWithURL
sceHttp,0xD1C8945E,sceHttpEnd
sceHttp,0xDB266CCF,sceHttpGetAllHeader
sceHttp,0xE4D21302,sceHttpsInit
sceHttp,0xEDEEB999,sceHttpReadData
sceHttp,0xF49934F6,sceHttpSetMallocFunction
sceHttp,0xF9D8EB63,sceHttpsEnd
sceHttp,0xFCF8C055,sceHttpDeleteTemplate
sceImpose,0x36AA6E91,sceImposeSetLanguageMode
sceJpeg,0x67F0ED84,sceJpegCsc
sceLibFont,0x099EF33C,sceFontFindOptimumFont
sceLibFont,0x0DA7535E,sceFontGetFontInfo
sceLibFont,0x27F6E642,sceFontGetNumFontList
sceLibFont,0x3AEA8CB6,sceFontClose
sceLibFont,0x574B6FBC,sceFontDoneLib
sceLibFont,0x67F17ED7,sceFontNewLib
sceLibFont,0x980F4895,sceFontGetCharGlyphImage
sceLibFont,0xA834319D,sceFontOpen
